fein	section	last	by
232332223	EmployeeCensus	2026-03-13	pooja.rawat1
232332223	EmployeeContributions	2026-01-16	pooja.rawat1
232332223	EmployeeDeductions	2026-01-16	pooja.rawat1
232332223	PriorPayroll	2026-02-23	pooja.rawat1
232432324	EmployeeCensus	2026-03-18	pooja.rawat1
232432324	PriorPayroll	2026-03-16	pooja.rawat1
275227237	EmployeeCensus	2026-04-22	devansh.yadav1
275227237	EmployeeDeductions	2026-04-23	shobhit.sharma1
275227237	FedTaxWithholding	2026-04-22	rohit.kaushik
275227237	PaymentMethodSetup	2026-04-23	rohit.kaushik
275227237	PriorPayroll	2026-04-24	shobhit.sharma1
275227237	StateTaxWithholding	2026-04-23	rohit.kaushik
275227237	WorkerCompensation	2026-04-27	shobhit.sharma1
333274309	PaymentMethodSetup	2026-01-21	birajpal.singh1
333760897	EmployeeCensus	2026-06-29	mohammed.asad1
333760897	EmployeeDeductions	2026-07-07	rohit.kaushik
333760897	FedTaxWithholding	2026-06-29	mohammed.asad1
333760897	PaymentMethodSetup	2026-06-29	mohammed.asad1
333760897	PriorPayroll	2026-07-07	rohit.kaushik
333760897	StateTaxWithholding	2026-06-29	mohammed.asad1
333760897	WorkerCompensation	2026-07-08	rohit.kaushik
393271662	EmployeeCensus	2026-04-21	rohit.kaushik
393271662	EmployeeDeductions	2026-05-13	rohit.kaushik
393271662	FedTaxWithholding	2026-05-13	shobhit.sharma1
393271662	PaymentMethodSetup	2026-05-13	shobhit.sharma1
393271662	PriorPayroll	2026-05-13	rohit.kaushik
393271662	StateTaxWithholding	2026-05-13	shobhit.sharma1
414824353	EmployeeCensus	2026-06-15	rohit.kaushik
414824353	FedTaxWithholding	2026-06-17	shobhit.sharma1
414824353	PaymentMethodSetup	2026-06-17	shobhit.sharma1
414824353	PriorPayroll	2026-06-18	rohit.kaushik
414824353	StateTaxWithholding	2026-06-17	shobhit.sharma1
415303937	EmployeeCensus	2026-08-07	tierra.williams1
415303937	FedTaxWithholding	2026-08-03	rohit.kaushik
415303937	PaymentMethodSetup	2026-08-03	rohit.kaushik
415303937	PriorPayroll	2026-08-07	rohit.kaushik
415303937	StateTaxWithholding	2026-08-03	rohit.kaushik
565656565	EmployeeCensus	2026-05-04	shobhit.sharma1
565656565	EmployeeContributions	2026-02-23	birajpal.singh1
565656565	EmployeeDeductions	2026-02-23	birajpal.singh1
565656565	FedTaxWithholding	2026-02-10	birajpal.singh1
565656565	PaymentMethodSetup	2026-02-13	sumit.saxena1
565656565	PriorPayroll	2026-05-11	rohit.kaushik
565656565	SocCode	2026-02-09	birajpal.singh1
565656565	StateTaxWithholding	2026-02-13	sumit.saxena1
565656565	WorkerCompensation	2026-02-14	sumit.saxena1
769465445	EmployeeCensus	2026-03-13	pooja.rawat1
769465445	EmployeeDeductions	2026-02-06	pooja.rawat1
769465445	FedTaxWithholding	2026-02-17	pooja.rawat1
769465445	PaymentMethodSetup	2026-01-09	pooja.rawat1
769465445	PriorPayroll	2026-02-26	pooja.rawat1
769465445	W2DeliveryMethod	2026-01-23	pooja.rawat1
811064737	EmployeeCensus	2026-04-22	shobhit.sharma1
811064737	EmployeeContributions	2026-04-22	shobhit.sharma1
811064737	EmployeeDeductions	2026-04-22	shobhit.sharma1
811064737	FedTaxWithholding	2026-04-22	shobhit.sharma1
811064737	PaymentMethodSetup	2026-04-22	shobhit.sharma1
811064737	PriorPayroll	2026-04-23	shobhit.sharma1
811064737	StateTaxWithholding	2026-04-22	shobhit.sharma1
811064737	WorkerCompensation	2026-04-22	rohit.kaushik
812040886	EmployeeCensus	2026-04-02	birajpal.singh1
812040886	EmployeeContributions	2026-04-01	rohit.kaushik
812040886	EmployeeDeductions	2026-04-01	rohit.kaushik
812040886	FedTaxWithholding	2026-04-02	birajpal.singh1
812040886	PaymentMethodSetup	2026-04-02	birajpal.singh1
812040886	PriorPayroll	2026-04-02	rohit.kaushik
812040886	StateTaxWithholding	2026-04-02	birajpal.singh1
812040886	WorkerCompensation	2026-04-02	birajpal.singh1
815416452	EmployeeCensus	2026-02-24	birajpal.singh1
815416452	EmployeeDeductions	2026-03-16	birajpal.singh1
815416452	FedTaxWithholding	2026-03-09	birajpal.singh1
815416452	PaymentMethodSetup	2026-03-10	birajpal.singh1
815416452	PriorPayroll	2026-03-09	birajpal.singh1
815416452	StateTaxWithholding	2026-03-12	birajpal.singh1
831384622	EmployeeCensus	2026-08-20	shruti.singhal1
831384622	EmployeeContributions	2026-08-14	rohit.kaushik
831384622	EmployeeDeductions	2026-08-14	rohit.kaushik
831384622	FedTaxWithholding	2026-08-14	rohit.kaushik
831384622	PaymentMethodSetup	2026-08-20	shruti.singhal1
831384622	PriorPayroll	2026-08-14	rohit.kaushik
831384622	SocCode	2026-08-17	mercedes.hallback1
831384622	StateTaxWithholding	2026-08-14	rohit.kaushik
831384622	WorkerCompensation	2026-08-20	rohit.kaushik
831967561	EmployeeCensus	2026-01-08	birajpal.singh1
831967561	FedTaxWithholding	2026-01-08	birajpal.singh1
831967561	PaymentMethodSetup	2026-01-09	birajpal.singh1
831967561	StateTaxWithholding	2026-01-20	birajpal.singh1
834191394	PaymentMethodSetup	2026-01-14	birajpal.singh1
834642224	EmployeeCensus	2026-03-03	birajpal.singh1
834642224	EmployeeDeductions	2026-03-06	birajpal.singh1
834642224	FedTaxWithholding	2026-03-06	birajpal.singh1
834642224	PaymentMethodSetup	2026-03-10	birajpal.singh1
834642224	PriorPayroll	2026-03-10	birajpal.singh1
834642224	StateTaxWithholding	2026-03-06	birajpal.singh1
834642224	WorkerCompensation	2026-03-19	birajpal.singh1
842170332	EmployeeCensus	2026-03-31	birajpal.singh1
842170332	EmployeeDeductions	2026-05-08	rohit.kaushik
842170332	FedTaxWithholding	2026-05-08	rohit.kaushik
842170332	PaymentMethodSetup	2026-05-08	shobhit.sharma1
842170332	PriorPayroll	2026-05-08	rohit.kaushik
842170332	StateTaxWithholding	2026-05-08	rohit.kaushik
842211186	PaymentMethodSetup	2026-02-18	birajpal.singh1
842278245	EmployeeCensus	2026-03-13	birajpal.singh1
842278245	EmployeeDeductions	2026-03-24	birajpal.singh1
842278245	FedTaxWithholding	2026-03-24	birajpal.singh1
842278245	PaymentMethodSetup	2026-03-11	birajpal.singh1
842278245	PriorPayroll	2026-03-25	birajpal.singh1
842278245	StateTaxWithholding	2026-03-24	birajpal.singh1
842381588	EmployeeCensus	2026-03-13	birajpal.singh1
842381588	EmployeeDeductions	2026-03-19	birajpal.singh1
842381588	FedTaxWithholding	2026-03-19	birajpal.singh1
842381588	PaymentMethodSetup	2026-03-11	birajpal.singh1
842381588	PriorPayroll	2026-03-19	birajpal.singh1
842381588	StateTaxWithholding	2026-03-19	birajpal.singh1
842880458	EmployeeCensus	2025-12-24	birajpal.singh1
842880458	EmployeeDeductions	2025-12-26	birajpal.singh1
842880458	FedTaxWithholding	2025-12-24	birajpal.singh1
842880458	PaymentMethodSetup	2026-01-02	birajpal.singh1
842880458	SocCode	2025-12-30	birajpal.singh1
842880458	StateTaxWithholding	2026-01-06	birajpal.singh1
842880458	WorkerCompensation	2026-01-06	birajpal.singh1
843994542	PaymentMethodSetup	2026-01-21	birajpal.singh1
844435229	EmployeeCensus	2026-03-13	birajpal.singh1
844797201	EmployeeCensus	2026-03-18	birajpal.singh1
844797201	EmployeeDeductions	2026-03-27	birajpal.singh1
844797201	FedTaxWithholding	2026-03-26	birajpal.singh1
844797201	PaymentMethodSetup	2026-03-25	birajpal.singh1
844797201	PriorPayroll	2026-03-27	birajpal.singh1
844797201	StateTaxWithholding	2026-03-26	birajpal.singh1
844797201	WorkerCompensation	2026-01-12	birajpal.singh1
850801688	EmployeeCensus	2026-04-30	devansh.yadav1
850801688	EmployeeContributions	2026-04-29	shobhit.sharma1
850801688	EmployeeDeductions	2026-04-29	shobhit.sharma1
850801688	FedTaxWithholding	2026-04-28	shobhit.sharma1
850801688	PaymentMethodSetup	2026-04-28	shobhit.sharma1
850801688	PriorPayroll	2026-04-30	shobhit.sharma1
850801688	StateTaxWithholding	2026-04-28	shobhit.sharma1
850801688	WorkerCompensation	2026-05-21	rohit.kaushik
850986274	EmployeeCensus	2026-01-05	birajpal.singh1
850986274	FedTaxWithholding	2026-01-05	birajpal.singh1
850986274	PaymentMethodSetup	2026-01-05	birajpal.singh1
850986274	StateTaxWithholding	2026-01-05	birajpal.singh1
850986274	WorkerCompensation	2026-01-05	birajpal.singh1
851098030	EmployeeCensus	2026-08-18	tierra.williams1
851098030	PaymentMethodSetup	2026-08-05	tierra.williams1
851100497	EmployeeCensus	2026-04-06	birajpal.singh1
851310274	EmployeeCensus	2025-12-30	birajpal.singh1
851310274	EmployeeContributions	2026-01-29	birajpal.singh1
851310274	EmployeeDeductions	2026-01-29	birajpal.singh1
851310274	FedTaxWithholding	2025-12-30	birajpal.singh1
851310274	PaymentMethodSetup	2026-01-15	birajpal.singh1
851310274	StateTaxWithholding	2025-12-30	birajpal.singh1
851310274	WorkerCompensation	2025-12-31	birajpal.singh1
851633535	EmployeeCensus	2026-01-21	birajpal.singh1
851633535	EmployeeDeductions	2026-01-27	birajpal.singh1
851633535	FedTaxWithholding	2026-01-21	birajpal.singh1
851633535	PaymentMethodSetup	2026-01-21	birajpal.singh1
851633535	SocCode	2026-01-21	birajpal.singh1
851633535	StateTaxWithholding	2026-01-21	birajpal.singh1
851633535	WorkerCompensation	2026-01-21	birajpal.singh1
851764448	PaymentMethodSetup	2026-01-27	birajpal.singh1
852549586	EmployeeCensus	2026-03-24	birajpal.singh1
852549586	EmployeeDeductions	2026-03-19	birajpal.singh1
852549586	FedTaxWithholding	2026-03-24	birajpal.singh1
852549586	PaymentMethodSetup	2026-03-24	birajpal.singh1
852549586	PriorPayroll	2026-03-30	birajpal.singh1
852549586	StateTaxWithholding	2026-03-24	birajpal.singh1
852549586	WorkerCompensation	2026-04-07	birajpal.singh1
852661720	EmployeeCensus	2026-05-20	rohit.kaushik
852661720	EmployeeDeductions	2026-06-02	rohit.kaushik
852661720	FedTaxWithholding	2026-05-14	shobhit.sharma1
852661720	PaymentMethodSetup	2026-05-14	shobhit.sharma1
852661720	PriorPayroll	2026-06-03	rohit.kaushik
852661720	StateTaxWithholding	2026-05-14	shobhit.sharma1
852661720	WorkerCompensation	2026-05-28	rohit.kaushik
852876814	EmployeeCensus	2026-02-27	birajpal.singh1
852876814	EmployeeContributions	2026-02-27	birajpal.singh1
852876814	EmployeeDeductions	2026-03-02	birajpal.singh1
852876814	FedTaxWithholding	2026-02-27	birajpal.singh1
852876814	PaymentMethodSetup	2026-02-27	birajpal.singh1
852876814	PriorPayroll	2026-02-28	birajpal.singh1
852876814	StateTaxWithholding	2026-02-27	birajpal.singh1
852876814	WorkerCompensation	2026-02-27	birajpal.singh1
853291632	EmployeeCensus	2026-05-13	shobhit.sharma1
853291632	FedTaxWithholding	2026-05-18	rohit.kaushik
853291632	PaymentMethodSetup	2026-05-18	rohit.kaushik
853291632	PriorPayroll	2026-05-25	rohit.kaushik
853291632	StateTaxWithholding	2026-05-18	rohit.kaushik
853291632	WorkerCompensation	2026-05-26	rohit.kaushik
853642271	EmployeeCensus	2026-08-20	mohammed.asad1
853642271	PaymentMethodSetup	2026-08-20	mohammed.asad1
871375963	EmployeeCensus	2026-08-17	mercedes.hallback1
871375963	EmployeeDeductions	2026-08-19	rohit.kaushik
871375963	FedTaxWithholding	2026-08-18	rohit.kaushik
871375963	PaymentMethodSetup	2026-08-21	mercedes.hallback1
871375963	PriorPayroll	2026-08-19	rohit.kaushik
871375963	StateTaxWithholding	2026-08-18	rohit.kaushik
871375963	WorkerCompensation	2026-08-20	rohit.kaushik
871780449	EmployeeCensus	2026-05-12	rohit.kaushik
871780449	EmployeeDeductions	2026-05-12	rohit.kaushik
871780449	FedTaxWithholding	2026-05-12	rohit.kaushik
871780449	PaymentMethodSetup	2026-05-12	rohit.kaushik
871780449	PriorPayroll	2026-05-12	rohit.kaushik
871780449	StateTaxWithholding	2026-05-12	rohit.kaushik
871956135	EmployeeCensus	2026-02-05	birajpal.singh1
871956135	EmployeeDeductions	2026-01-19	birajpal.singh1
871956135	FedTaxWithholding	2026-02-05	birajpal.singh1
871956135	PaymentMethodSetup	2026-02-12	birajpal.singh1
871956135	PriorPayroll	2026-02-13	birajpal.singh1
871956135	SocCode	2026-02-05	birajpal.singh1
871956135	StateTaxWithholding	2026-02-05	birajpal.singh1
871956135	WorkerCompensation	2026-02-05	birajpal.singh1
872098931	PaymentMethodSetup	2026-01-22	birajpal.singh1
872277669	EmployeeCensus	2026-01-09	birajpal.singh1
872277669	EmployeeContributions	2026-01-22	birajpal.singh1
872277669	EmployeeDeductions	2026-01-22	birajpal.singh1
872277669	FedTaxWithholding	2026-01-09	birajpal.singh1
872277669	PaymentMethodSetup	2026-01-12	birajpal.singh1
872277669	StateTaxWithholding	2026-01-13	birajpal.singh1
872277669	WorkerCompensation	2026-01-09	birajpal.singh1
872637160	EmployeeCensus	2026-05-01	shobhit.sharma1
872637160	EmployeeDeductions	2026-05-01	shobhit.sharma1
872637160	FedTaxWithholding	2026-05-06	shobhit.sharma1
872637160	PaymentMethodSetup	2026-05-01	shobhit.sharma1
872637160	PriorPayroll	2026-05-01	devansh.yadav1
872637160	StateTaxWithholding	2026-05-06	shobhit.sharma1
872637160	WorkerCompensation	2026-05-20	rohit.kaushik
873534994	EmployeeCensus	2026-04-21	devansh.yadav1
873534994	EmployeeDeductions	2026-05-12	shobhit.sharma1
873534994	FedTaxWithholding	2026-05-11	shobhit.sharma1
873534994	PaymentMethodSetup	2026-05-11	shobhit.sharma1
873534994	PriorPayroll	2026-05-12	shobhit.sharma1
873534994	StateTaxWithholding	2026-05-12	shobhit.sharma1
873718310	EmployeeCensus	2026-08-06	mercedes.hallback1
873718310	EmployeeDeductions	2026-08-06	rohit.kaushik
873718310	FedTaxWithholding	2026-08-04	rohit.kaushik
873718310	PaymentMethodSetup	2026-08-06	mercedes.hallback1
873718310	PriorPayroll	2026-08-06	rohit.kaushik
873718310	StateTaxWithholding	2026-08-04	rohit.kaushik
873718310	WorkerCompensation	2026-08-18	rohit.kaushik
874114615	EmployeeCensus	2026-02-09	birajpal.singh1
874114615	FedTaxWithholding	2026-02-09	birajpal.singh1
874114615	StateTaxWithholding	2026-02-09	birajpal.singh1
874680378	PaymentMethodSetup	2026-01-09	birajpal.singh1
876876982	PriorPayroll	2026-04-15	birajpal.singh1
884109370	EmployeeCensus	2026-02-19	birajpal.singh1
884109370	EmployeeContributions	2026-02-27	birajpal.singh1
884109370	EmployeeDeductions	2026-03-02	birajpal.singh1
884109370	FedTaxWithholding	2026-02-19	birajpal.singh1
884109370	PaymentMethodSetup	2026-01-02	pooja.rawat1
884109370	PriorPayroll	2026-02-28	birajpal.singh1
884109370	StateTaxWithholding	2026-02-19	birajpal.singh1
884109370	WorkerCompensation	2026-02-19	birajpal.singh1
920241570	EmployeeCensus	2026-07-31	mercedes.hallback1
920241570	EmployeeDeductions	2026-07-31	shobhit.sharma1
920241570	FedTaxWithholding	2026-07-31	rohit.kaushik
920241570	PaymentMethodSetup	2026-07-31	shobhit.sharma1
920241570	PriorPayroll	2026-07-31	rohit.kaushik
920241570	StateTaxWithholding	2026-07-31	rohit.kaushik
920241570	WorkerCompensation	2026-08-18	shobhit.sharma1
920277902	EmployeeCensus	2026-04-02	birajpal.singh1
920277902	EmployeeDeductions	2026-04-01	rohit.kaushik
920277902	FedTaxWithholding	2026-04-01	birajpal.singh1
920277902	PaymentMethodSetup	2026-03-26	birajpal.singh1
920277902	PriorPayroll	2026-04-02	birajpal.singh1
920277902	StateTaxWithholding	2026-04-01	birajpal.singh1
920720113	EmployeeCensus	2026-07-02	shruti.singhal1
920720113	EmployeeContributions	2026-07-13	rohit.kaushik
920720113	EmployeeDeductions	2026-07-13	rohit.kaushik
920720113	FedTaxWithholding	2026-07-16	rohit.kaushik
920720113	PaymentMethodSetup	2026-07-16	rohit.kaushik
920720113	PriorPayroll	2026-07-16	rohit.kaushik
920720113	StateTaxWithholding	2026-07-16	rohit.kaushik
920720113	WorkerCompensation	2026-07-21	shobhit.sharma1
921913091	EmployeeCensus	2026-05-07	shobhit.sharma1
921913091	EmployeeContributions	2026-05-07	shobhit.sharma1
921913091	EmployeeDeductions	2026-05-06	shobhit.sharma1
921913091	FedTaxWithholding	2026-05-07	shobhit.sharma1
921913091	PaymentMethodSetup	2026-05-07	shobhit.sharma1
921913091	PriorPayroll	2026-05-07	shobhit.sharma1
921913091	StateTaxWithholding	2026-05-07	shobhit.sharma1
927387483	CompanyJobTitle	2025-12-05	pooja.rawat1
932949097	EmployeeCensus	2026-02-10	birajpal.singh1
932949097	FedTaxWithholding	2026-02-10	birajpal.singh1
932949097	PaymentMethodSetup	2026-02-13	birajpal.singh1
932949097	SocCode	2026-01-16	birajpal.singh1
932949097	StateTaxWithholding	2026-02-10	birajpal.singh1
932949097	WorkerCompensation	2026-01-16	birajpal.singh1
933092758	EmployeeCensus	2026-02-14	birajpal.singh1
933092758	EmployeeDeductions	2026-02-28	birajpal.singh1
933092758	FedTaxWithholding	2026-02-14	birajpal.singh1
933092758	PaymentMethodSetup	2026-02-14	birajpal.singh1
933092758	StateTaxWithholding	2026-02-28	birajpal.singh1
934155347	EmployeeCensus	2026-06-15	tierra.williams1
934155347	FedTaxWithholding	2026-06-19	rohit.kaushik
934155347	PaymentMethodSetup	2026-06-21	shobhit.sharma1
934155347	PriorPayroll	2026-06-30	shobhit.sharma1
934155347	StateTaxWithholding	2026-06-19	rohit.kaushik
990000001	EmployeeCensus	2026-03-12	birajpal.singh1
991182990	EmployeeCensus	2026-06-04	shobhit.sharma1
992400165	EmployeeCensus	2026-02-02	birajpal.singh1
992400165	EmployeeContributions	2026-01-23	birajpal.singh1
992400165	EmployeeDeductions	2026-02-02	birajpal.singh1
992400165	FedTaxWithholding	2026-01-27	birajpal.singh1
992400165	PaymentMethodSetup	2026-01-27	birajpal.singh1
992400165	PriorPayroll	2026-02-03	birajpal.singh1
992400165	SocCode	2026-01-21	birajpal.singh1
992400165	StateTaxWithholding	2026-01-27	birajpal.singh1
992400165	WorkerCompensation	2026-01-21	birajpal.singh1
992773412	EmployeeCensus	2026-03-25	birajpal.singh1
